"trait"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"model"
"CWM_HM_col"	"(Intercept)"	0,18118	0,00339316335989021	53,395601915807	6,97269808687549e-96	"Across"
"CWM_HM_col"	"scale(LUI)"	-0,00750106050145834	0,00401945598987376	-1,86618799169734	0,0640776840537531	"Across"
"CWM_HM_col"	"scale(Sand_v)"	-0,0149191554612443	0,00390309423724255	-3,82239181388158	0,000197111727199144	"Across"
"CWM_HM_col"	"scale(pH)"	0,00948051894614158	0,00464964823774481	2,03897552274618	0,0433075753565819	"Across"
"CWM_HM_col"	"scale(CN_ratio)"	0,0101622173094494	0,0040297300215381	2,52181095386897	0,012779000117211	"Across"
"CWM_HM_col"	"scale(NP_ratio)"	0,00608897244287264	0,00410834195751292	1,48209971463981	0,140529561892852	"Across"
"CWM_HM_col"	"scale(NO3_mean_v)"	-0,0204873198900874	0,00619180073843306	-3,30878217106064	0,0011875149408064	"Across"
"CWM_HM_col"	"scale(d15N_soil_mean_v)"	-0,0133122006731246	0,00490911800103807	-2,71172961625889	0,00752021224295917	"Across"
"CWM_Iso_Root_N_pc_mean"	"(Intercept)"	1,58512965474724	0,0179176016671376	88,467736039389	2,09358011255876e-127	"Across"
"CWM_Iso_Root_N_pc_mean"	"ExploratoryHAI"	-0,0663762698462108	0,0253117574857914	-2,62234931270461	0,00967177935013698	"Across"
"CWM_Iso_Root_N_pc_mean"	"ExploratorySCH"	-0,114192694395513	0,0274613810602602	-4,15830122108327	5,48252144331296e-05	"Across"
"CWM_Iso_Root_N_pc_mean"	"scale(LUI)"	-0,0193017864822586	0,0109659290998862	-1,76015970069137	0,080503953268999	"Across"
"CWM_Iso_Root_N_pc_mean"	"scale(CN_ratio)"	0,0191482956723581	0,0116687468998697	1,64098988834627	0,102981931744506	"Across"
"CWM_Iso_Root_N_pc_mean"	"scale(d15N_soil_mean_v)"	-0,0474048909309786	0,0110833028132255	-4,27714479427661	3,43102860136472e-05	"Across"
"CWM_Klim_BBRsum"	"(Intercept)"	19,27956	0,101496101186274	189,953700434428	9,44359341298748e-175	"Across"
"CWM_Klim_BBRsum"	"scale(pH)"	0,494751312655003	0,120855212392287	4,0937523741142	7,04478260620525e-05	"Across"
"CWM_Klim_BBRsum"	"scale(Resin_P_scaled_v)"	-0,225266621615325	0,111847280756859	-2,01405541637641	0,0458661771500611	"Across"
"CWM_Klim_BBRsum"	"scale(NP_ratio)"	0,378187847166059	0,12959410691341	2,91824880138069	0,00408572223483536	"Across"
"CWM_Klim_BBRsum"	"scale(NH4_mean_v)"	0,586226972466099	0,133697120853012	4,38473894370995	2,22713661554435e-05	"Across"
"CWM_Klim_BBRsum"	"scale(NO3_mean_v)"	-0,872140447220323	0,136456786010792	-6,39133071147777	2,14361269938694e-09	"Across"
"CWM_LEDA_SLA"	"(Intercept)"	22,8614597799016	0,181794428217101	125,754457956216	4,71152466722741e-145	"Across"
"CWM_LEDA_SLA"	"ExploratoryHAI"	0,674797542029237	0,255779529911882	2,6381999461087	0,00928502439987867	"Across"
"CWM_LEDA_SLA"	"ExploratorySCH"	1,68990311826589	0,286601970273898	5,89634159406123	2,68736204432541e-08	"Across"
"CWM_LEDA_SLA"	"scale(SM_10)"	0,209503400652129	0,117076658367639	1,78945490564187	0,0757189968640694	"Across"
